,Fighter_name,Average_significant_strikes,Average_takedowns,Average_submission_attempts,Average_knockdowns,Average_activity,Wins,Loss,Winrate,Weight_class
401,Takenori Sato,0.5,0.0,0.0,0.0,0.5,0.0,2.0,0.0,['Welterweight']
402,Daniel Rodriguez,76.56,0.11,0.11,0.44,77.22,6.0,3.0,0.67,['Welterweight']
403,Sumudaerji,45.6,0.2,0.4,0.4,46.6,3.0,2.0,0.6,['Flyweight' 'Bantamweight']
404,Danielle Taylor,41.2,0.2,0.2,0.0,41.60000000000001,2.0,3.0,0.4,"[""Women's Strawweight""]"
405,Ramona Pascual,42.67,1.33,0.0,0.0,44.0,0.0,3.0,0.0,"[""Women's Bantamweight"" ""Women's Featherweight""]"
406,Darko Stosic,31.5,2.75,0.0,0.0,34.25,1.0,3.0,0.25,['Light Heavyweight']
407,Alexander Gustafsson,25.14,1.07,0.36,0.43,27.0,9.0,5.0,0.64,['Light Heavyweight' 'Heavyweight']
408,Mike Pierce,31.57,2.21,0.21,0.21,34.2,9.0,5.0,0.64,['Welterweight']
409,Elias Theodorou,58.55,1.18,0.0,0.0,59.73,8.0,3.0,0.73,['Middleweight']
410,Gadzhi Omargadzhiev,25.0,1.0,0.0,0.0,26.0,0.0,2.0,0.0,['Welterweight' 'Middleweight']
411,Tom Lawlor,22.18,1.45,0.82,0.27,24.72,6.0,5.0,0.55,['Light Heavyweight' 'Middleweight']
412,Michael Trizano,43.14,0.29,0.43,0.43,44.29,4.0,3.0,0.57,['Featherweight' 'Lightweight']
413,Mark Weir,8.33,0.0,1.0,0.67,10.0,1.0,2.0,0.33,['Middleweight']
414,Mayra Bueno Silva,41.38,0.25,0.88,0.0,42.510000000000005,5.0,3.0,0.62,"[""Women's Flyweight"" ""Women's Bantamweight""]"
415,Kris McCray,23.33,1.67,0.0,0.0,25.0,0.0,3.0,0.0,['Welterweight' 'Middleweight']
416,Christian Colombo,27.0,0.0,0.0,0.0,27.0,0.0,3.0,0.0,['Heavyweight']
417,Deiveson Figueiredo,26.0,1.23,1.54,0.62,29.39,10.0,3.0,0.77,['Flyweight' 'Bantamweight']
418,Naoki Inoue,55.0,0.0,2.5,0.0,57.5,1.0,1.0,0.5,['Flyweight']
419,Neil Seery,49.14,0.71,1.43,0.29,51.57,3.0,4.0,0.43,['Flyweight']
420,Josh Ferguson,27.0,0.5,0.0,0.0,27.5,0.0,2.0,0.0,['Flyweight' 'Bantamweight']
421,Danny Abbadi,29.5,0.0,0.0,0.0,29.5,0.0,2.0,0.0,['Lightweight' 'Middleweight']
422,Sam Hoger,14.4,1.0,1.2,0.2,16.8,2.0,3.0,0.4,['Light Heavyweight']
423,Alex Soto,23.5,1.5,0.0,0.0,25.0,0.0,2.0,0.0,['Bantamweight']
424,David Kaplan,31.0,3.5,0.5,0.0,35.0,0.0,2.0,0.0,['Lightweight']
425,Damir Ismagulov,50.43,1.0,0.0,0.14,51.57,5.0,2.0,0.71,['Lightweight']
426,Adam Cella,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,['Middleweight']
427,Devonte Smith,25.8,0.0,0.0,0.4,26.2,2.0,3.0,0.4,['Lightweight']
428,Gillian Robertson,25.33,1.6,0.6,0.0,27.53,9.0,6.0,0.6,"[""Women's Strawweight"" ""Women's Flyweight""]"
429,Kleydson Rodrigues,34.0,0.67,0.33,0.33,35.33,1.0,2.0,0.33,['Bantamweight' 'Flyweight']
430,Jafel Filho,15.0,0.5,1.5,0.0,17.0,1.0,1.0,0.5,['Flyweight']
431,Kyle Kingsbury,33.78,2.0,0.0,0.11,35.89,4.0,5.0,0.44,['Light Heavyweight']
432,Ross Pointon,13.5,0.0,0.0,0.5,14.0,0.0,2.0,0.0,['Welterweight' 'Middleweight']
433,Danilo Marques,13.75,2.5,0.5,0.0,16.75,2.0,2.0,0.5,['Light Heavyweight']
434,Miguel Torres,38.75,0.0,0.75,0.0,39.5,2.0,2.0,0.5,['Bantamweight']
435,Jaqueline Amorim,49.0,1.5,3.5,0.0,54.0,1.0,1.0,0.5,"[""Women's Strawweight""]"
436,Aleksandra Albu,47.75,1.5,0.25,0.0,49.5,2.0,2.0,0.5,"[""Women's Strawweight""]"
437,Daniel Marcos,50.5,0.5,0.0,0.5,51.5,2.0,0.0,1.0,['Bantamweight']
438,Evan Dunham,61.25,1.4,0.75,0.1,63.5,11.0,9.0,0.55,['Lightweight']
439,Rodrigo Ruas,11.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,['Middleweight']
440,Ian Heinisch,39.43,0.86,0.57,0.29,41.15,3.0,4.0,0.43,['Middleweight']
441,Khalid Taha,25.0,0.0,0.0,0.2,25.2,1.0,4.0,0.2,['Bantamweight' 'Featherweight']
442,Eric Wisely,19.0,0.0,0.0,0.0,19.0,0.0,2.0,0.0,['Featherweight']
443,Marcel Fortuna,42.33,0.33,0.33,0.33,43.31999999999999,1.0,2.0,0.33,['Light Heavyweight' 'Heavyweight']
444,Denis Tiuliulin,28.8,0.0,0.0,0.4,29.2,1.0,4.0,0.2,['Middleweight']
445,Nassourdine Imavov,52.33,1.17,1.83,0.0,55.33,5.0,1.0,0.83,['Middleweight']
446,Anthony Smith,31.12,0.41,0.35,0.41,32.29,11.0,6.0,0.65,['Light Heavyweight' 'Middleweight']
447,Luke Zachrich,30.67,0.33,0.0,0.0,31.0,1.0,2.0,0.33,['Middleweight']
448,Sergio Pettis,57.15,0.92,0.38,0.08,58.53,8.0,5.0,0.62,['Bantamweight' 'Flyweight']
449,Jeff Cox,1.0,0.5,0.0,0.0,1.5,0.0,2.0,0.0,['Lightweight']
450,Henry Martinez,35.33,0.0,0.0,0.0,35.33,1.0,2.0,0.33,['Lightweight' 'Welterweight']
451,Lauren Murphy,62.69,1.08,0.08,0.08,63.92999999999999,8.0,5.0,0.62,"[""Women's Flyweight"" ""Women's Bantamweight""]"
452,Jarjis Danho,33.33,0.33,0.0,0.33,33.989999999999995,2.0,1.0,0.67,['Heavyweight']
453,Josh Culibao,33.5,0.0,0.33,0.5,34.33,3.0,3.0,0.5,['Featherweight' 'Lightweight']
454,Arjan Bhullar,30.25,1.5,0.0,0.25,32.0,3.0,1.0,0.75,['Heavyweight']
455,Tom Gallicchio,53.0,1.0,0.0,0.0,54.0,0.0,1.0,0.0,['Welterweight']
456,Sarah Alpar,26.5,1.0,0.0,0.0,27.5,0.0,2.0,0.0,"[""Women's Flyweight"" ""Women's Bantamweight""]"
457,Luigi Fioravanti,23.0,2.0,0.12,0.25,25.37,3.0,5.0,0.38,['Welterweight' 'Middleweight']
458,Tucker Lutz,45.0,1.75,0.0,0.0,46.75,1.0,3.0,0.25,['Featherweight']
459,Elizabeth Phillips,39.0,0.75,0.25,0.0,40.0,1.0,3.0,0.25,"[""Women's Bantamweight""]"
460,Peggy Morgan,34.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,"[""Women's Bantamweight""]"
