,Fighter_name,Average_significant_strikes,Average_takedowns,Average_submission_attempts,Average_knockdowns,Average_activity,Wins,Loss,Winrate,Weight_class
1162,Karine Silva,23.5,1.0,1.0,0.5,26.0,2.0,0.0,1.0,"[""Women's Flyweight""]"
1163,Kevin Jordan,18.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,['Heavyweight']
1164,Jake Collier,61.57,0.5,0.43,0.21,62.71,5.0,9.0,0.36,['Heavyweight' 'Light Heavyweight' 'Middleweight']
1165,Nick Ring,52.0,1.33,0.33,0.0,53.66,3.0,3.0,0.5,['Middleweight']
1166,Mike Rodriguez,36.29,0.0,0.0,0.71,37.0,2.0,5.0,0.29,['Light Heavyweight']
1167,Nick Serra,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,['Welterweight']
1168,Marvin Vettori,56.7,1.1,0.6,0.0,58.400000000000006,7.0,3.0,0.7,['Middleweight']
1169,Erik Koch,23.5,0.7,0.6,0.2,25.0,5.0,5.0,0.5,['Lightweight' 'Featherweight' 'Welterweight']
1170,Serghei Spivac,28.64,2.45,0.27,0.0,31.36,7.0,4.0,0.64,['Heavyweight']
1171,James McSweeney,37.67,0.33,0.67,0.0,38.67,1.0,2.0,0.33,['Light Heavyweight' 'Heavyweight']
1172,Horacio Gutierrez,7.5,0.0,0.0,0.0,7.5,0.0,2.0,0.0,['Featherweight' 'Lightweight']
1173,Charles Oliveira,24.06,1.06,1.19,0.23,26.54,22.0,9.0,0.71,['Lightweight' 'Featherweight']
1174,Gilbert Urbina,48.0,2.0,0.5,0.5,51.0,1.0,1.0,0.5,['Middleweight' 'Welterweight']
1175,Justin Jaynes,30.75,0.5,0.75,0.5,32.5,1.0,3.0,0.25,['Featherweight' 'Lightweight']
1176,Jesse Forbes,14.67,0.33,0.33,0.33,15.66,0.0,3.0,0.0,['Middleweight' 'Light Heavyweight']
1177,Andrew Holbrook,15.6,0.4,1.0,0.0,17.0,2.0,3.0,0.4,['Lightweight']
1178,Ulysses Gomez,25.5,0.0,0.0,0.0,25.5,0.0,2.0,0.0,['Flyweight']
1179,Karol Rosa,81.5,1.38,0.0,0.25,83.13,6.0,2.0,0.75,"[""Women's Featherweight"" ""Women's Bantamweight""]"
1180,Domingo Pilarte,7.0,1.0,0.5,0.0,8.5,0.0,2.0,0.0,['Bantamweight']
1181,Caol Uno,19.0,1.38,0.12,0.0,20.5,4.0,4.0,0.5,['Lightweight']
1182,Jamie Pickett,30.86,1.0,0.0,0.0,31.86,2.0,5.0,0.29,['Middleweight']
1183,Waylon Lowe,22.0,3.5,0.25,0.0,25.75,2.0,2.0,0.5,['Lightweight']
1184,Cameron VanCamp,17.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,['Lightweight' 'Welterweight']
1185,Billy Miles,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,['Welterweight']
1186,Abus Magomedov,30.67,0.33,0.0,0.33,31.33,1.0,2.0,0.33,['Middleweight']
1187,Daniel Spohn,24.0,0.0,2.0,0.0,26.0,0.0,1.0,0.0,['Light Heavyweight']
1188,Tom Watson,57.14,0.14,0.0,0.14,57.42,2.0,5.0,0.29,['Middleweight']
1189,Brendan Allen,33.75,0.83,1.08,0.25,35.91,11.0,1.0,0.92,['Middleweight' 'Light Heavyweight']
1190,Eduardo Garagorri,35.67,0.33,0.0,0.0,36.0,1.0,2.0,0.33,['Featherweight']
1191,Guilherme Vasconcelos,49.0,0.0,0.0,0.0,49.0,0.0,1.0,0.0,['Middleweight']
1192,Kevin Aguilar,53.33,0.17,0.0,0.17,53.67,2.0,4.0,0.33,['Featherweight' 'Lightweight']
1193,Tom Blackledge,8.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,['Light Heavyweight']
1194,Chris Cope,29.0,0.0,0.0,0.0,29.0,1.0,2.0,0.33,['Welterweight']
1195,Justin Ledet,31.14,0.14,0.14,0.0,31.42,3.0,4.0,0.43,['Light Heavyweight' 'Heavyweight']
1196,Anthony Christodoulou,20.0,0.0,0.0,0.0,20.0,0.0,2.0,0.0,['Lightweight']
1197,Rick Story,40.72,2.17,0.78,0.28,43.95,11.0,7.0,0.61,['Welterweight']
1198,Jared Rollins,40.0,2.0,1.0,1.0,44.0,0.0,1.0,0.0,['Welterweight']
1199,Joe Ellenberger,23.0,3.0,1.0,0.0,27.0,1.0,1.0,0.5,['Lightweight']
1200,Stefan Struve,24.38,0.29,0.88,0.12,25.669999999999998,13.0,11.0,0.54,['Heavyweight']
1201,Chris Haseman,14.0,0.0,2.0,0.0,16.0,0.0,1.0,0.0,['Light Heavyweight']
1202,Albert Tumenov,34.88,0.12,0.0,0.62,35.62,5.0,3.0,0.62,['Welterweight']
1203,Edilberto de Oliveira,25.5,0.0,0.0,0.0,25.5,0.0,2.0,0.0,['Welterweight']
1204,Sako Chivitchian,36.0,0.0,0.0,0.0,36.0,0.0,1.0,0.0,['Lightweight']
1205,Steve Vigneault,6.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,['Middleweight']
1206,Paul Taylor,55.0,0.22,0.44,0.44,56.099999999999994,4.0,5.0,0.44,['Lightweight' 'Welterweight']
1207,Takeya Mizugaki,43.79,1.14,0.07,0.21,45.21,8.0,6.0,0.57,['Bantamweight']
1208,Alan Belcher,25.07,0.29,0.57,0.14,26.07,8.0,6.0,0.57,['Middleweight' 'Light Heavyweight']
1209,Carlos Candelario,39.0,1.5,0.5,0.0,41.0,0.0,2.0,0.0,['Flyweight']
1210,Sirwan Kakai,53.5,4.0,0.0,0.5,58.0,1.0,1.0,0.5,['Bantamweight']
1211,Lance Benoist,55.25,1.5,0.0,0.25,57.0,2.0,2.0,0.5,['Welterweight']
1212,Aoriqileng,56.5,1.17,0.0,0.33,58.0,3.0,3.0,0.5,['Bantamweight' 'Flyweight']
1213,Nandor Guelmino,56.0,0.0,0.0,0.0,56.0,0.0,1.0,0.0,['Heavyweight']
1214,Daniel Zellhuber,55.33,0.0,0.33,0.33,55.989999999999995,2.0,1.0,0.67,['Lightweight']
1215,Rosi Sexton,61.0,1.0,0.0,0.0,62.0,0.0,2.0,0.0,"[""Women's Bantamweight""]"
1216,Marcelo Guimaraes,52.75,1.5,0.0,0.0,54.25,2.0,2.0,0.5,['Middleweight' 'Welterweight']
1217,Jay Silva,17.0,0.0,1.0,0.0,18.0,0.0,2.0,0.0,['Middleweight']
1218,Marcus LeVesseur,23.0,2.33,0.33,0.0,25.659999999999997,1.0,2.0,0.33,['Lightweight']
1219,Heath Herring,34.4,1.0,0.2,1.0,36.6,2.0,3.0,0.4,['Heavyweight']
1220,Hatsu Hioki,31.5,2.25,0.62,0.0,34.37,3.0,5.0,0.38,['Featherweight']
1221,Andreas Stahl,27.5,1.0,0.0,0.0,28.5,0.0,2.0,0.0,['Welterweight']
1222,Jim Wallhead,39.5,0.0,0.0,0.5,40.0,0.0,2.0,0.0,['Welterweight']
1223,Jorge Gurgel,50.86,0.86,0.14,0.0,51.86,3.0,4.0,0.43,['Lightweight']
1224,Renato Moicano,39.46,1.08,0.46,0.08,41.08,9.0,4.0,0.69,['Lightweight' 'Featherweight']
1225,Gaston Bolanos,63.0,0.0,0.0,0.0,63.0,1.0,0.0,1.0,['Bantamweight']
1226,Teruto Ishihara,32.78,0.33,0.0,0.89,34.0,3.0,6.0,0.33,['Bantamweight' 'Featherweight']
1227,Steve Steinbeiss,46.0,0.0,0.0,0.0,46.0,0.0,2.0,0.0,['Middleweight']
1228,Santiago Ponzinibbio,51.47,0.4,0.0,0.47,52.339999999999996,9.0,6.0,0.6,['Welterweight']
1229,Silvana Gomez Juarez,24.5,0.0,0.0,0.5,25.0,1.0,3.0,0.25,"[""Women's Strawweight""]"
1230,Enrique Marin,21.5,2.5,1.0,0.0,25.0,0.0,2.0,0.0,['Lightweight' 'Welterweight']
1231,Rob MacDonald,5.0,1.33,1.0,0.0,7.33,1.0,2.0,0.33,['Light Heavyweight']
1232,Justin James,13.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,['Lightweight']
1233,Erin Blanchfield,58.5,2.0,0.83,0.0,61.33,6.0,0.0,1.0,"[""Women's Flyweight""]"
1234,Siyar Bahadurzada,33.0,1.0,0.25,0.62,34.87,4.0,4.0,0.5,['Welterweight' 'Middleweight']
1235,Scott Junk,17.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,['Heavyweight']
1236,Kristian Rothaermel,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,['Light Heavyweight']
1237,Tereza Bleda,37.5,2.0,1.0,0.0,40.5,1.0,1.0,0.5,"[""Women's Flyweight""]"
1238,Lucio Linhares,8.0,1.0,1.0,0.0,10.0,0.0,2.0,0.0,['Middleweight']
1239,Andre Pederneiras,10.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,['Lightweight']
1240,Roldan Sangcha'an,31.5,1.5,0.0,0.0,33.0,0.0,2.0,0.0,['Flyweight']
1241,Joseph Gigliotti,10.0,1.0,0.5,0.0,11.5,0.0,2.0,0.0,['Middleweight']
1242,Steven Siler,33.89,0.33,1.11,0.11,35.44,5.0,4.0,0.56,['Featherweight']
1243,Miesha Tate,37.82,1.36,0.91,0.09,40.18,6.0,5.0,0.55,"[""Women's Flyweight"" ""Women's Bantamweight""]"
1244,Joanderson Brito,17.6,1.2,0.4,0.2,19.4,4.0,1.0,0.8,['Featherweight']
1245,Ricardo Romero,6.67,0.33,0.67,0.0,7.67,1.0,2.0,0.33,['Light Heavyweight']
1246,Ron Waterman,23.25,1.5,0.75,0.0,25.5,2.0,2.0,0.5,['Heavyweight']
1247,Michel Quinones,35.5,0.0,0.0,0.0,35.5,0.0,2.0,0.0,['Lightweight' 'Featherweight']
1248,Gabe Green,68.2,0.6,0.2,0.4,69.4,2.0,3.0,0.4,['Welterweight']
1249,Denys Bondar,40.0,1.5,0.0,0.0,41.5,0.0,2.0,0.0,['Flyweight']
1250,Jerome Rivera,18.5,0.0,0.0,0.0,18.5,0.0,4.0,0.0,['Flyweight' 'Featherweight' 'Bantamweight']
1251,Trevin Giles,32.08,0.92,0.25,0.25,33.5,7.0,5.0,0.58,['Welterweight' 'Middleweight' 'Light Heavyweight']
1252,Yaotzin Meza,18.17,0.83,1.33,0.0,20.33,2.0,4.0,0.33,['Featherweight' 'Bantamweight']
1253,Bruno Souza,56.0,0.5,0.0,0.0,56.5,0.0,2.0,0.0,['Featherweight']
1254,Sam Stout,49.75,0.5,0.1,0.15,50.5,9.0,11.0,0.45,['Lightweight' 'Welterweight']
1255,David Teymur,49.83,0.67,0.0,0.5,51.0,5.0,1.0,0.83,['Lightweight']
1256,Frank Caracci,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,['Lightweight']
1257,Rory Singer,24.25,0.25,0.5,0.0,25.0,2.0,2.0,0.5,['Middleweight']
1258,Aaron Rosa,44.0,0.0,0.0,0.0,44.0,1.0,2.0,0.33,['Light Heavyweight' 'Heavyweight']
1259,Armen Petrosyan,91.25,0.25,0.0,0.0,91.5,3.0,1.0,0.75,['Middleweight']
1260,Boston Salmon,6.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,['Bantamweight']
1261,Saimon Oliveira,29.0,0.0,2.0,0.0,31.0,0.0,2.0,0.0,['Bantamweight']
1262,Arnold Allen,41.5,1.1,0.3,0.3,43.199999999999996,10.0,0.0,1.0,['Featherweight']
1263,Johnny Case,52.17,1.5,0.17,0.33,54.17,4.0,2.0,0.67,['Lightweight']
1264,Vinicius Moreira,9.5,0.0,0.0,0.0,9.5,0.0,4.0,0.0,['Light Heavyweight']
1265,Jeff Molina,97.33,0.0,0.0,1.0,98.33,3.0,0.0,1.0,['Flyweight']
1266,Shane Howell,11.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,['Flyweight']
1267,Henry Briones,35.6,0.0,0.4,0.2,36.2,1.0,4.0,0.2,['Bantamweight']
1268,Sam Hughes,50.86,1.0,0.0,0.0,51.86,3.0,4.0,0.43,"[""Women's Strawweight""]"
1269,Roan Carneiro,14.78,2.0,1.0,0.0,17.78,4.0,5.0,0.44,['Welterweight' 'Middleweight']
1270,Ednaldo Oliveira,9.5,0.0,0.0,0.0,9.5,0.0,2.0,0.0,['Light Heavyweight' 'Heavyweight']
1271,Kelly Faszholz,60.0,0.0,0.0,0.0,60.0,0.0,2.0,0.0,"[""Women's Bantamweight""]"
1272,Gabriel Miranda,11.0,1.0,0.5,0.0,12.5,1.0,1.0,0.5,['Lightweight' 'Featherweight']
1273,Frank Mir,13.24,0.8,0.64,0.32,15.000000000000002,14.0,11.0,0.56,['Heavyweight']
1274,Jesse Bongfeldt,29.0,1.0,0.0,0.0,30.0,1.0,1.0,0.5,['Middleweight']
1275,Juan Espino,14.67,3.67,1.0,0.0,19.34,2.0,1.0,0.67,['Heavyweight']
1276,Cezar Ferreira,19.8,1.87,0.33,0.13,22.13,9.0,6.0,0.6,['Middleweight' 'Welterweight']
1277,Jake Shields,40.6,1.2,0.2,0.0,42.00000000000001,3.0,2.0,0.6,['Welterweight']
1278,Fabio Maldonado,65.0,0.3,0.5,0.1,65.89999999999999,5.0,5.0,0.5,['Light Heavyweight' 'Heavyweight']
1279,Kevin Lee,35.25,2.06,0.69,0.06,38.06,10.0,6.0,0.62,['Welterweight' 'Lightweight']
1280,Johnny Bedford,31.0,0.83,0.0,0.5,32.33,2.0,4.0,0.33,['Bantamweight']
1281,William Knight,24.86,1.29,0.43,0.29,26.869999999999997,3.0,4.0,0.43,['Light Heavyweight' 'Heavyweight']
1282,Dave Herman,25.0,0.6,0.0,0.2,25.8,1.0,4.0,0.2,['Heavyweight']
1283,Chepe Mariscal,54.5,2.5,0.5,0.0,57.5,2.0,0.0,1.0,['Featherweight' 'Lightweight']
1284,Jarno Errens,25.0,0.0,0.5,0.5,26.0,0.0,2.0,0.0,['Featherweight']
1285,Danny Castillo,33.64,2.21,0.21,0.14,36.2,7.0,7.0,0.5,['Lightweight']
1286,Blake Bilder,78.0,0.5,0.0,0.0,78.5,1.0,1.0,0.5,['Featherweight']
1287,Roger Gracie,12.0,2.0,0.0,0.0,14.0,0.0,1.0,0.0,['Middleweight']
1288,Rose Namajunas,42.1,0.7,0.3,0.4,43.5,6.0,4.0,0.6,"[""Women's Flyweight"" ""Women's Strawweight""]"
1289,Robert Peralta,37.57,0.57,0.0,0.29,38.43,4.0,3.0,0.57,['Featherweight']
1290,Leonardo Morales,18.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,['Bantamweight' 'Featherweight']
1291,Justin Gaethje,60.3,0.1,0.0,0.6,61.0,7.0,3.0,0.7,['Lightweight']
1292,TJ Waldburger,15.0,1.5,2.38,0.25,19.13,4.0,4.0,0.5,['Welterweight']
1293,Cub Swanson,56.0,0.6,0.1,0.45,57.150000000000006,12.0,8.0,0.6,['Bantamweight' 'Featherweight']
1294,Juliana Lima,26.57,1.57,0.0,0.0,28.14,3.0,4.0,0.43,"[""Women's Strawweight""]"
1295,Justin Wren,17.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,['Heavyweight']
1296,Roland Delorme,22.33,1.83,1.17,0.33,25.659999999999997,3.0,3.0,0.5,['Bantamweight']
1297,Alexander Hernandez,43.5,0.75,0.08,0.25,44.58,6.0,6.0,0.5,['Featherweight' 'Lightweight']
1298,Edward Faaloloto,8.5,0.0,0.0,0.0,8.5,0.0,2.0,0.0,['Lightweight']
1299,Cindy Dandois,47.0,5.0,0.0,0.0,52.0,0.0,1.0,0.0,"[""Women's Bantamweight""]"
1300,Collin Anglin,16.5,0.5,0.0,0.0,17.0,0.0,2.0,0.0,['Featherweight']
1301,Quinn Mulhern,12.5,0.0,0.0,0.0,12.5,0.0,2.0,0.0,['Lightweight' 'Welterweight']
1302,Mitch Gagnon,26.88,0.75,1.25,0.38,29.259999999999998,4.0,4.0,0.5,['Bantamweight']
1303,Brok Weaver,14.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,['Lightweight']
1304,Esteban Ribovics,90.5,1.0,0.5,0.5,92.5,1.0,1.0,0.5,['Lightweight']
1305,Macy Chiasson,39.12,1.38,0.25,0.25,41.0,6.0,2.0,0.75,"[""Women's Featherweight"" ""Women's Bantamweight""]"
1306,Elias Silverio,54.6,1.6,0.2,0.2,56.60000000000001,3.0,2.0,0.6,['Lightweight' 'Welterweight']
1307,Gregory Rodrigues,46.14,1.29,0.29,0.57,48.29,5.0,2.0,0.71,['Middleweight']
1308,Azamat Gashimov,5.5,0.5,0.0,0.0,6.0,0.0,2.0,0.0,['Flyweight' 'Bantamweight']
1309,Walel Watson,17.0,0.0,0.75,0.5,18.25,1.0,3.0,0.25,['Bantamweight']
1310,Livinha Souza,19.0,1.83,1.0,0.0,21.83,3.0,3.0,0.5,"[""Women's Strawweight""]"
1311,Willamy Freire,23.0,1.0,0.0,0.0,24.0,0.0,1.0,0.0,['Lightweight']
1312,Josh Samman,17.2,0.6,0.2,0.4,18.4,3.0,2.0,0.6,['Middleweight']
1313,Chris Lytle,40.9,0.45,1.55,0.1,43.0,10.0,10.0,0.5,['Welterweight']
1314,Brad Blackburn,58.8,0.8,0.6,1.0,61.199999999999996,3.0,2.0,0.6,['Welterweight']
1315,Nick Pace,26.67,3.33,0.67,0.0,30.67,1.0,2.0,0.33,['Bantamweight']
1316,Ricco Rodriguez,23.17,2.17,0.83,0.0,26.17,4.0,2.0,0.67,['Heavyweight']
1317,Victor Henry,103.75,0.0,0.5,0.0,104.25,2.0,2.0,0.5,['Bantamweight']
1318,Collin Hart,95.0,2.0,0.0,0.0,97.0,0.0,1.0,0.0,['Middleweight']
1319,Joe Pyfer,18.0,1.0,0.67,0.33,20.0,3.0,0.0,1.0,['Middleweight']
1320,Justin Lawrence,28.67,0.67,0.0,0.33,29.67,1.0,2.0,0.33,['Featherweight' 'Lightweight']
1321,Filip Pejic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,['Bantamweight']
1322,Stevie Ray,40.82,0.55,0.45,0.09,41.910000000000004,7.0,4.0,0.64,['Lightweight']
1323,Julian Marquez,46.0,0.0,1.67,0.17,47.84,3.0,3.0,0.5,['Middleweight']
1324,Joey Roberts,17.0,1.0,2.0,0.0,20.0,0.0,1.0,0.0,['Heavyweight']
1325,Maryna Moroz,50.91,0.55,0.55,0.0,52.00999999999999,6.0,5.0,0.55,"[""Women's Flyweight"" ""Women's Strawweight""]"
1326,Joe Merritt,23.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,['Welterweight']
1327,Elise Reed,29.29,0.43,0.0,0.14,29.86,3.0,4.0,0.43,"[""Women's Strawweight"" ""Women's Flyweight""]"
1328,Carla Esparza,30.21,3.07,0.29,0.0,33.57,9.0,5.0,0.64,"[""Women's Strawweight""]"
1329,John Gunther,14.0,4.0,0.0,0.0,18.0,1.0,1.0,0.5,['Lightweight']
1330,Philip De Fries,12.6,1.2,0.2,0.2,14.199999999999998,2.0,3.0,0.4,['Heavyweight']
1331,Gilbert Burns,36.37,1.63,0.42,0.21,38.63,14.0,5.0,0.74,['Welterweight' 'Lightweight']
1332,Da'Mon Blackshear,49.4,1.8,0.6,0.0,51.8,2.0,3.0,0.4,['Bantamweight']
1333,Ryan Jimmo,29.57,0.29,0.0,0.57,30.43,3.0,4.0,0.43,['Light Heavyweight']
1334,Anthony Lapsley,5.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,['Welterweight']
1335,Luana Pinheiro,53.0,1.0,0.33,0.33,54.66,2.0,1.0,0.67,"[""Women's Strawweight""]"
1336,Maurice Greene,27.75,0.0,0.25,0.25,28.25,4.0,4.0,0.5,['Heavyweight']
1337,Joe Duffy,21.0,0.5,0.38,0.25,22.13,4.0,4.0,0.5,['Lightweight']
1338,Konstantin Erokhin,16.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,['Heavyweight']
1339,Jesus Aguilar,2.0,0.0,0.5,0.5,3.0,1.0,1.0,0.5,['Flyweight']
1340,Richie Vaculik,41.5,2.25,0.75,0.0,44.5,1.0,3.0,0.25,['Flyweight']
1341,Kevin Holland,49.47,0.6,0.53,0.33,50.93,12.0,3.0,0.8,['Welterweight' 'Middleweight']
1342,Kyle Daukaus,33.4,1.0,0.2,0.0,34.6,1.0,4.0,0.2,['Middleweight']
1343,Jules Bruchez,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,['Light Heavyweight']
1344,Talita Bernardo,43.5,1.5,0.5,0.0,45.5,1.0,3.0,0.25,"[""Women's Bantamweight""]"
1345,Ruslan Magomedov,60.33,0.33,0.0,0.33,60.989999999999995,3.0,0.0,1.0,['Heavyweight']
1346,Cody Brundage,11.29,1.14,0.57,0.29,13.29,3.0,4.0,0.43,['Middleweight']
1347,Dylan Andrews,16.4,1.4,0.2,0.6,18.599999999999998,2.0,3.0,0.4,['Middleweight']
1348,Greg Hardy,32.5,0.12,0.0,0.12,32.739999999999995,4.0,4.0,0.5,['Heavyweight']
1349,Diego Sanchez,34.17,1.2,0.6,0.2,36.17000000000001,18.0,12.0,0.6,['Welterweight' 'Lightweight' 'Featherweight' 'Middleweight']
1350,Terry Etim,20.82,0.27,0.91,0.18,22.18,6.0,5.0,0.55,['Lightweight']
1351,James Zikic,29.0,0.0,1.0,0.0,30.0,0.0,1.0,0.0,['Light Heavyweight']
1352,Aaron Phillips,19.75,0.75,0.5,0.0,21.0,0.0,4.0,0.0,['Bantamweight' 'Featherweight']
1353,Phil Rowe,38.6,0.8,0.4,0.4,40.199999999999996,3.0,2.0,0.6,['Welterweight']
1354,Clifford Starks,15.0,1.0,0.0,0.0,16.0,1.0,2.0,0.33,['Middleweight']
1355,Jared Hamman,40.0,0.29,0.0,0.14,40.43,2.0,5.0,0.29,['Middleweight' 'Light Heavyweight']
1356,Daniel Kelly,35.0,1.2,0.2,0.0,36.400000000000006,6.0,4.0,0.6,['Middleweight']
1357,Andreas Michailidis,29.25,0.75,0.0,0.0,30.0,1.0,3.0,0.25,['Welterweight' 'Middleweight' 'Light Heavyweight']
1358,Song Kenan,40.75,0.25,0.0,0.62,41.62,5.0,3.0,0.62,['Welterweight']
1359,Roger Hollett,27.5,1.0,0.0,0.0,28.5,0.0,2.0,0.0,['Light Heavyweight']
1360,Brian Ortega,38.29,0.14,0.86,0.43,39.72,6.0,1.0,0.86,['Featherweight']
1361,Jimmy Crute,16.89,2.11,0.89,0.33,20.22,5.0,4.0,0.56,['Light Heavyweight']
1362,Melsik Baghdasaryan,52.25,0.0,0.0,0.25,52.5,3.0,1.0,0.75,['Featherweight']
1363,Andre Winner,28.17,0.0,0.0,0.33,28.5,2.0,4.0,0.33,['Lightweight']
1364,Casey O'Neill,107.6,1.6,0.6,0.0,109.79999999999998,4.0,1.0,0.8,"[""Women's Flyweight""]"
1365,DeAnna Bennett,47.0,0.0,1.0,0.0,48.0,1.0,0.0,1.0,"[""Women's Flyweight""]"
1366,Cynthia Calvillo,51.92,1.33,0.75,0.0,54.0,5.0,7.0,0.42,"[""Women's Strawweight"" ""Women's Flyweight""]"
1367,Tim Elliott,44.28,3.11,0.78,0.11,48.28,8.0,10.0,0.44,['Flyweight' 'Bantamweight']
1368,Jordan Rinaldi,16.2,1.0,0.8,0.0,18.0,2.0,3.0,0.4,['Featherweight' 'Lightweight']
1369,Zviad Lazishvili,63.0,0.0,0.0,0.0,63.0,0.0,1.0,0.0,['Bantamweight']
1370,Ali Bagautinov,47.83,2.83,0.33,0.33,51.31999999999999,4.0,2.0,0.67,['Flyweight']
1371,Curtis Stout,3.5,0.0,0.0,0.0,3.5,0.0,2.0,0.0,['Middleweight']
1372,Jiri Prochazka,46.67,0.67,0.0,0.67,48.010000000000005,2.0,1.0,0.67,['Light Heavyweight']
1373,Andrew Craig,29.29,0.43,0.0,0.29,30.009999999999998,3.0,4.0,0.43,['Welterweight' 'Middleweight']
1374,Geane Herrera,20.5,0.75,0.5,0.25,22.0,1.0,3.0,0.25,['Flyweight']
1375,Maia Stevenson,6.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,"[""Women's Strawweight""]"
1376,Gabriel Benitez,40.77,0.15,0.62,0.31,41.85,7.0,6.0,0.54,['Featherweight' 'Lightweight']
1377,Derrick Krantz,19.5,2.0,0.5,0.0,22.0,0.0,2.0,0.0,['Welterweight']
1378,Besam Yousef,35.5,1.0,0.0,0.0,36.5,0.0,2.0,0.0,['Welterweight']
1379,Douglas Silva de Andrade,43.55,0.55,0.18,0.55,44.82999999999999,6.0,5.0,0.55,['Bantamweight' 'Featherweight']
1380,Henry Cejudo,48.36,1.64,0.18,0.45,50.63,9.0,2.0,0.82,['Flyweight' 'Bantamweight']
1381,Genki Sudo,13.0,2.0,2.33,0.0,17.33,2.0,1.0,0.67,['Lightweight']
1382,Izabela Badurek,32.0,1.0,0.0,0.0,33.0,0.0,1.0,0.0,"[""Women's Strawweight""]"
1383,Nikolas Motta,17.33,0.0,0.0,0.33,17.659999999999997,1.0,2.0,0.33,['Lightweight']
1384,Sean Strickland,57.86,0.79,0.29,0.29,59.23,10.0,4.0,0.71,['Middleweight' 'Welterweight']
1385,James Mulheron,36.0,0.0,0.0,0.0,36.0,0.0,1.0,0.0,['Heavyweight']
1386,Jeremy Larsen,29.33,1.0,0.0,0.33,30.659999999999997,0.0,3.0,0.0,['Featherweight' 'Lightweight']
1387,Irina Alekseeva,33.0,0.5,0.5,0.5,34.5,1.0,1.0,0.5,"[""Women's Bantamweight""]"
1388,Rani Yahya,19.3,2.05,1.15,0.0,22.5,15.0,5.0,0.75,['Bantamweight' 'Featherweight']
1389,Luan Lacerda,54.0,1.0,0.5,0.0,55.5,0.0,2.0,0.0,['Bantamweight']
1390,Joey Gambino,22.0,0.0,0.5,0.0,22.5,0.0,2.0,0.0,['Featherweight']
1391,Danilo Belluardo,6.5,1.0,0.0,0.0,7.5,0.0,2.0,0.0,['Lightweight']
1392,Aliaskhab Khizriev,42.0,2.0,1.0,0.0,45.0,1.0,0.0,1.0,['Middleweight']
1393,Will Campuzano,30.75,1.25,0.25,0.0,32.25,0.0,4.0,0.0,['Flyweight' 'Bantamweight']
1394,Artem Lobov,47.0,0.17,0.0,0.0,47.17,2.0,4.0,0.33,['Featherweight' 'Lightweight']
1395,Nick Catone,23.57,2.86,0.43,0.0,26.86,3.0,4.0,0.43,['Welterweight' 'Middleweight']
1396,Nick Penner,6.0,0.0,0.0,0.5,6.5,0.0,2.0,0.0,['Light Heavyweight']
1397,Jesse Sanders,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,['Welterweight']
1398,Manuel Rodriguez,4.0,3.0,0.0,0.0,7.0,0.0,1.0,0.0,['Welterweight']
1399,Duda Santana,42.0,3.0,0.0,0.0,45.0,0.0,1.0,0.0,"[""Women's Bantamweight""]"
1400,Kamal Shalorus,13.67,0.33,0.0,0.0,14.0,0.0,3.0,0.0,['Lightweight']
1401,Fernie Garcia,24.33,0.33,0.67,0.0,25.33,0.0,3.0,0.0,['Bantamweight']
1402,Lance Gibson,19.5,1.0,0.5,0.5,21.5,1.0,1.0,0.5,['Middleweight']
1403,Tiki Ghosn,14.75,0.0,0.0,0.0,14.75,0.0,4.0,0.0,['Welterweight' 'Lightweight']
1404,Jenel Lausa,19.5,0.5,0.75,0.5,21.25,1.0,3.0,0.25,['Flyweight']
1405,Bobby Moffett,49.5,2.5,1.0,0.0,53.0,0.0,2.0,0.0,['Featherweight']
1406,David Heath,13.6,0.2,0.6,0.0,14.399999999999999,2.0,3.0,0.4,['Light Heavyweight']
1407,Jianping Yang,21.0,1.0,0.0,0.0,22.0,0.0,1.0,0.0,['Featherweight']
1408,Caolan Loughran,48.0,2.0,0.0,0.0,50.0,0.0,1.0,0.0,['Bantamweight']
